u_apercor,g_apercor,r_apercor,i_apercor,z_apercor,y_apercor,zhelio
24.594070239963145,23.944282768217096,23.289895345315422,22.317777733837445,21.930018351564673,21.574617437711154,0.93748194
25.132776340713296,23.12728747358253,21.544479783252143,20.316180876173426,19.885126437976165,19.654859105142272,0.60022897
23.57403294056429,23.138554460899996,22.618094089813354,22.650683800103792,22.362027356468797,22.6296620057075,0.29259464
24.68541784170504,23.500860928514726,22.085807633658426,21.035050786992624,20.723305878147855,20.45846252748325,0.6195618
24.897343149138564,24.761948797954034,24.006054224097284,23.786406086648963,23.477111357630093,23.407392539217753,0.56265426
22.714755638953065,21.19767572050513,19.97665405089463,19.531549299367494,19.32295430977711,19.113344439070048,0.2915073
23.07885635091821,22.415805777737138,21.771923846119265,21.647768744077137,21.407501704794736,21.46384485295335,0.28327876
23.9453766708457,23.813381633351444,23.379778695337134,22.91891314083853,22.675772305439285,23.28471681610104,0.80977297
23.544941176531008,23.405287623898257,22.99770302219288,22.502302751523025,22.26305950602521,22.425405374673417,0.76686895
24.329328400630473,24.377517606252013,23.95898166358871,23.8639861996046,23.32494829529458,23.12193841947358,1.3086854
24.034925296375835,23.68929828212624,22.998638232953603,22.60952936202642,21.877946030224912,21.410370364209953,1.3101225
24.460661746338566,24.192912606008672,23.694791123311607,23.0588176624681,22.57119989831286,22.223305070999928,0.9875109
22.463992645524606,21.564298572961324,20.735072490111193,20.335887658580276,20.053255023566336,20.014404421448184,0.2820052
21.612665154009793,20.02587749082203,18.732115478591005,18.254734238160367,17.996387150681446,17.891577456091753,0.2827316
22.471874213928114,21.74536522409821,21.103391599662462,20.85190480921281,20.60103382621662,20.590084839177898,0.27763766
23.345668161148446,22.68518806081891,22.081318332835004,21.997730614599703,21.800433067455593,21.947850313726327,0.2779086
26.84743260859592,26.450401207722045,24.283396226115187,23.042303172476203,22.268512329071804,21.727874565699302,0.9302523
24.23610579569964,24.166917113516153,23.85122617665084,23.378941099782764,23.07358529692235,22.782574719741497,1.3570092
25.141465640131813,25.064845412873876,24.34169183110198,23.850400788698742,23.576318787696007,23.422638363481873,0.6490975
24.387736714249474,24.26409767420471,24.00674271165442,23.788722324571417,23.25366704673153,23.106401228295198,1.0574918
23.688018072021826,23.69510710645229,23.460146692527506,23.20835454856538,22.656311218057727,22.54561962817929,1.1710107
24.06581508293691,23.97076561133384,23.78494692765733,23.95686564753483,23.16804328399443,23.382900582571736,1.3358436
24.034292125849177,23.989313665765323,23.40073649281613,22.787653031347677,22.49572293801423,22.432204863917043,0.81291145
24.619109098583973,24.453969266249608,24.16535146883791,23.85356412856139,23.123793860420292,22.886404991783166,1.0929062
23.839473165676566,23.69994851552857,23.25136871534944,22.467526636646074,22.200940014504802,21.751884089930414,0.9301677
23.69626341223186,23.626847017116333,23.287821447373947,23.130678931735627,22.801628976875286,22.495013580765452,1.3162991
23.714208361776578,23.216894623765956,22.5392764609526,22.082427991383106,22.00673529127311,21.72231245566428,0.6499205
